single_alert_amount_pct,single_alert_amount_abs,single_alert_t_value,alert_summary_status,single_alert_new_value,single_alert_prev_value,single_alert_status,target,"single_alert_series_signature_tags_bytecode-cached, cold, fission, webrender","single_alert_series_signature_tags_bytecode-cached, fission, warm, webrender","single_alert_series_signature_tags_cold, fission, interactive, webrender","single_alert_series_signature_tags_cold, fission, webrender","single_alert_series_signature_tags_cold, webrender","single_alert_series_signature_tags_fission, warm, webrender","single_alert_series_signature_tags_fission, webrender","single_alert_series_signature_tags_warm, webrender",single_alert_series_signature_tags_webrender,single_alert_manually_created_True,single_alert_series_signature_suite_freq
6.73,4.5,13.34,2.0,71.35,66.85,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
6.26,-4.43,13.73,5.0,66.29,70.71,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.06,-1.58,9.7,6.0,50.11,51.69,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
6.96,-3.5,7.1,7.0,46.72,50.21,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
9.16,4.27,7.5,2.0,50.85,46.58,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.11,-1.47,7.05,2.0,45.77,47.24,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
10.49,-4.49,7.22,7.0,38.31,42.8,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
13.33,5.08,7.37,2.0,43.22,38.14,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
5.66,-2.43,7.68,2.0,40.43,42.86,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
5.54,-2.34,7.63,4.0,39.91,42.25,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.94,1.73,7.76,2.0,36.66,34.93,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.57,-1.67,7.07,5.0,34.92,36.59,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.55,-2.06,7.15,4.0,43.22,45.28,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
6.0,-2.4,7.02,2.0,37.62,40.02,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
6.09,2.33,7.18,2.0,40.58,38.25,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
6.33,-2.56,7.44,5.0,37.87,40.42,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
5.68,-2.15,8.03,5.0,35.75,37.9,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
6.61,-2.58,7.17,6.0,36.41,38.99,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.51,0.85,7.18,2.0,34.88,34.02,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
7.8,-3.39,8.26,6.0,40.02,43.4,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.99,1.43,7.36,2.0,37.18,35.75,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.01,0.99,7.09,5.0,50.09,49.1,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
6.98,8.53,9.3,2.0,130.76,122.23,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.9,-2.94,7.01,2.0,72.37,75.31,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
25.6,17.08,7.36,2.0,83.8,66.72,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.27,6.6,7.69,2.0,208.49,201.89,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.51,-7.68,7.07,4.0,211.25,218.92,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
9.82,20.58,7.65,5.0,230.15,209.57,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.62,-5.64,8.23,4.0,209.49,215.14,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.82,7.82,7.45,5.0,212.84,205.02,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.93,-6.36,7.97,4.0,210.42,216.78,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.36,-4.89,8.11,2.0,202.41,207.3,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
7.51,-3.89,7.85,6.0,47.95,51.84,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
18.37,-8.47,8.62,5.0,37.66,46.13,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.63,-5.38,9.43,6.0,199.39,204.77,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.29,-7.05,7.43,4.0,207.13,214.18,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
11.31,-8.0,36.28,2.0,62.73,70.73,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.2,-2.14,7.38,2.0,94.98,97.11,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
7.92,7.26,9.04,2.0,98.87,91.62,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.94,-3.26,13.3,6.0,79.47,82.72,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.62,2.0,7.0,5.0,78.29,76.29,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.85,3.83,7.1,5.0,82.87,79.04,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.14,-2.58,7.01,4.0,79.81,82.39,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.64,2.08,7.39,2.0,81.06,78.97,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.04,-4.24,7.94,2.0,203.89,208.14,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.84,-9.85,9.17,4.0,193.68,203.53,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
10.46,19.23,7.66,5.0,203.1,183.87,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.33,2.7,8.82,2.0,65.03,62.33,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.01,-1.94,7.29,4.0,62.52,64.45,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
5.92,3.68,16.92,6.0,65.89,62.2,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
5.61,2.75,7.81,5.0,51.79,49.04,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
5.57,-2.9,11.83,6.0,49.12,52.02,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.23,-2.06,7.41,2.0,46.62,48.68,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.46,1.99,7.18,2.0,46.75,44.75,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.04,-10.59,7.25,2.0,507.33,517.92,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
17.66,86.96,44.5,5.0,579.51,492.54,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.22,-12.76,11.32,4.0,562.67,575.43,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.35,18.88,9.66,5.0,582.57,563.69,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
15.29,103.21,71.95,5.0,778.13,674.93,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.49,18.94,8.94,5.0,778.34,759.4,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.05,-34.16,9.83,2.0,1629.82,1663.98,3.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.12,-35.27,11.75,3.0,1629.24,1664.51,3.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.4,7.19,7.12,5.0,306.85,299.65,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
27.69,159.1,52.96,5.0,733.58,574.48,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
25.19,-184.33,10.23,4.0,547.56,731.89,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.07,-1.3,8.59,2.0,61.4,62.7,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
21.46,13.63,30.96,5.0,77.12,63.49,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
26.66,-20.68,9.77,4.0,56.89,77.57,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.61,-1.99,8.26,2.0,53.1,55.08,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.24,-8.52,7.15,2.0,371.1,379.61,3.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
7.36,27.7,15.57,5.0,404.18,376.48,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
6.16,-24.84,14.33,4.0,378.12,402.96,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.55,13.34,7.67,5.0,389.5,376.16,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
23.44,-161.96,95.17,4.0,528.99,690.95,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
8.68,-45.14,30.16,4.0,475.0,520.13,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.11,-10.08,8.53,2.0,467.87,477.95,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.01,13.85,7.17,2.0,474.04,460.19,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.05,-3.89,7.94,4.0,186.37,190.27,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.14,7.59,9.19,6.0,191.07,183.48,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
5.09,9.44,8.27,2.0,194.71,185.27,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.07,-6.13,7.7,2.0,193.33,199.46,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
26.54,-157.01,98.32,4.0,434.67,591.68,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
10.15,-43.13,34.95,4.0,381.89,425.02,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.37,-9.11,7.93,6.0,374.78,383.89,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.14,-8.12,8.26,2.0,371.29,379.41,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.33,-8.63,8.31,3.0,362.11,370.74,3.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.48,9.08,7.63,6.0,374.96,365.88,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.09,7.43,9.2,5.0,362.44,355.01,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.97,-11.71,34.87,5.0,223.84,235.54,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
10.16,-22.77,34.04,4.0,201.37,224.14,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.0,7.51,8.34,2.0,195.36,187.85,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.08,-3.84,9.31,6.0,180.37,184.21,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.66,-0.8,8.22,4.0,16.46,17.26,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
8.07,-1.34,10.45,6.0,15.24,16.57,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
26.82,-3.86,30.45,5.0,10.52,14.38,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
15.58,1.62,15.5,5.0,11.99,10.37,3.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.01,-3.08,9.69,3.0,150.33,153.4,3.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.3,-4.97,8.24,5.0,145.79,150.76,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.13,-3.12,7.06,5.0,143.03,146.14,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.82,6.91,13.31,5.0,150.28,143.38,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
8.27,-2.29,9.12,6.0,25.43,27.72,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
57.92,66.44,8.31,5.0,181.15,114.71,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
17.92,-0.6,7.22,4.0,2.75,3.35,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.59,-0.41,7.43,6.0,8.5,8.9,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
5.65,0.49,7.25,5.0,9.24,8.75,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
10.81,0.91,9.38,5.0,9.37,8.46,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
27.75,-2.52,19.28,5.0,6.57,9.09,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
17.99,-175.2,71.42,4.0,798.51,973.71,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
5.45,-43.1,26.26,4.0,748.24,791.34,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.09,-22.9,11.08,2.0,717.69,740.59,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
4.19,-29.86,20.4,4.0,683.19,713.05,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.24,-14.84,8.47,5.0,647.97,662.81,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
96.68,-1481.34,401.13,4.0,50.88,1532.22,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2889.28,1470.49,450.56,7.0,1521.38,50.89,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.0,-29.93,8.16,4.0,1464.25,1494.18,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.63,-38.3,9.7,2.0,1418.6,1456.9,2.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.47,-35.18,7.15,4.0,1390.04,1425.23,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.02,28.6,8.94,2.0,1445.09,1416.48,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
3.01,-43.03,8.2,5.0,1386.94,1429.96,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.7,37.4,7.27,7.0,1424.04,1386.64,2.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.63,-37.43,9.22,5.0,1387.69,1425.12,4.0,0,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
2.4,33.16,7.29,5.0,1415.08,1381.92,4.0,1,False,False,False,False,False,False,False,False,False,False,0.20090055033631662
