Repository,Samples,Accuracy,Precision,Recall,F1-Score,ROC-AUC
mozilla-central,2,1.0,1.0,1.0,1.0,1.0
mozilla-beta,3597,0.9958298582151793,0.9905579399141631,0.9965457685664939,0.993542832544124,0.9999401634776279
