Combination,Num_Features,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Only Magnitude,5,0.991106170094497,0.989063867016623,0.9899299474605955,0.9894967177242888,0.9984902445706751
Only Context,1,0.5706874189364461,0.49399344739716056,0.5941330998248686,0.539455376664679,0.6069078290407494
Magnitude + Context,6,0.9975912544005929,0.9986824769433466,0.9956217162872154,0.9971497478623109,0.9999859354843791
All Features,9,0.9974059662775616,0.9973707274320771,0.9964973730297724,0.9969338589575121,0.9999818567748491
